source,target,biomarker_type,label,description
67,6,snp-effect,adverse,Patients with this genotype have a greater reduction in risk of a major cardiovascular event with high dose pravastatin.
67,7,snp-effect,efficacy,Patients with this genotype have a lesser reduction in LDL cholesterol with pravastatin.
68,8,snp-effect,efficacy,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
68,9,snp-effect,efficacy,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
68,10,snp-effect,efficacy,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
68,11,snp-effect,efficacy,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
68,12,snp-effect,efficacy,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
68,13,snp-effect,efficacy,The presence of this polymorphism in CYP2D6 is associated with reduced or poor metabolism of fluvoxamine.
70,14,snp-effect,efficacy,Patients with this genotype have a shorter time to lowering of blood pressure with ramipril
93,15,adverse-reaction,adverse,Patients with this genotype have increased risk of a non-fatal myocardial infarction with caffeine
95,16,snp-effect,efficacy,Patients with this genotype have increased frequency of positive erectile response when using sildenafil to treat erectile dysfunction
95,17,snp-effect,efficacy,Patients with this genotype have increased frequency of positive erectile response when using sildenafil to treat erectile dysfunction
107,18,snp-effect,efficacy,Patients with this genotype have an increased likelihood of remission when using citalopram to treat major depressive disorder
107,19,snp-effect,efficacy,Patients with this genotype have an increased likelihood of responding to citalopram when treating major depressive disorder
107,20,snp-effect,efficacy,Patients with this genotype have an increased likelihood of responding to citalopram when treating major depressive disorder
107,21,adverse-reaction,adverse,Patients with this genotype have increased frequency of suicidal ideation with citalopram
107,22,adverse-reaction,adverse,Patients with this genotype have increased frequency of suicidal ideation with citalopram
107,23,adverse-reaction,adverse,Male patients with this genotype have an increased risk of (condition: suicide) with (drug: citalopram).
108,24,snp-effect,efficacy,Patients with this genotype have an increased likelihood of responding to elitriptan when treating (condition: cluster headache).
144,25,snp-effect,efficacy,Patients with this genotype have reduced metabolism of phenytoin.
144,26,adverse-reaction,adverse,The presence of this genotype in HLA-B is associated with an increased risk of Stevens-Johnson syndrome and toxic epidermal necrolysis when treated with phenytoin.
156,27,snp-effect,efficacy,Patients with this genotype have a greater reduction in blood pressure with metoprolol.
156,9,snp-effect,efficacy,Patients with this genotype have reduced metabolism of metoprolol.
156,28,snp-effect,efficacy,Patients with this genotype have a greater reduction in blood pressure with metoprolol.
169,29,snp-effect,efficacy,Patients with this genotype have reduced metabolism of theophylline.
177,30,snp-effect,efficacy,Patients with this genotype have reduced metabolism of venlafaxine.
177,31,snp-effect,efficacy,Patients with this genotype have reduced metabolism of venlafaxine.
177,32,snp-effect,efficacy,Patients with this genotype have reduced metabolism of venlafaxine.
177,18,snp-effect,efficacy,Patients with this genotype have an increased likelihood of remission when using venlafaxine to treat major depressive disorder
177,33,snp-effect,adverse,Patients with this genotype have increased risk of adverse events with venlafaxine
180,8,snp-effect,adverse,The presence of this genotype in CYP2D6 may be associated with reduced metabolism of atomoxetine and more frequent occurrence of adverse events.
